title,release_date,duration_ms,duration_min,ology,smologies,encore,part_2,branch,primary,secondary,,,
Theoretical & Creative Ecology (SCIENCE & ECOPOETRY) with Madhur Anand,2/7/2024,3423791,57.06,Ecology,0,0,0,FNS,Art,Biology,,,
Smologies #37: PROTEINS + DNA with Raven “The Science Maven” Baxter,2/3/2024,1523800,25.40,NA,1,0,0,FAS,Biology,Chemistry,,,
Evolutionary Anthropology (METABOLISM) with Herman Pontzer,1/31/2024,5058324,84.31,Anthropology,0,0,0,FSS,Anthropology,Biology,,,
Carcinology (CRABS) Part 2 with Adam Wall,1/24/2024,3052826,50.88,Carcinology,0,0,1,FNS,Biology,NA,,,
Smologies #36: FEATHERS with Allison Shultz,1/20/2024,1534746,25.58,NA,1,0,0,FNS,Biology,NA,,,FFS
Carcinology (CRABS) Part 1 with Adam Wall,1/16/2024,4087431,68.12,Carcinology,0,0,0,FNS,Biology,NA,,,FNS
Ethnoecology (ETHNOBOTANY/NATIVE PLANTS) with Leigh Joseph,1/9/2024,4767425,79.46,Ethnoecology,0,0,0,FSS,Anthropology,Biology,,,FSS
Smologies #35: COMPUTER PROGRAMMING with Iddris Sandu,1/4/2024,1505619,25.09,NA,1,0,0,AFS,Computer science,NA,,,AFS
Alieology (YOUR HOST): an Ask-Me-Anything Goofy Hang,12/27/2023,6462693,107.71,Alieology,0,0,0,NA,NA,NA,,,ANS
Smologies #34: PENGUINS with Tom Hart,12/23/2023,1506246,25.10,NA,1,0,0,FNS,Biology,NA,,,ASS
Lemurology (LEMURS) with Lydia Greene,12/20/2023,4563173,76.05,Lemurology,0,0,0,FNS,Biology,NA,,,
Quasithanatology (NEAR-DEATH EXPERIENCES) with Bruce Greyson,12/13/2023,5287340,88.12,Quasithanatology,0,0,0,FSS,Psychology,Biology,,,
Smologies #33: SCORPIONS with Lauren Esposito,12/11/2023,1525472,25.42,NA,1,0,0,FNS,Biology,NA,,,
Syndesiology (CONNECTIONS) with James Burke,12/6/2023,3054236,50.90,Syndesiology,0,0,0,FSS,Sociology,NA,,,
Audiobook Mixtape 3: Gift Ideas from the Ologists’ Brains,11/29/2023,4891506,81.53,NA,0,0,0,NA,NA,NA,,,
Smologies #32: CLOUDS with Rachel Storer,11/25/2023,1526021,25.43,NA,1,0,0,FNS,Earth science,NA,,,
"Abstract Mathematology (UH, IS MATH REAL?) with Eugenia Cheng",11/22/2023,4637753,77.30,Mathematology,0,0,0,FFS,Pure mathematics,NA,,,
Road Ecology (ROAD KILL) with Ben Goldfarb,11/15/2023,5052760,84.21,Ecology,0,0,0,FSS,Anthropology,Biology,,,
Smologies #31: INDIGENOUS COOKING with Mariah Gladstone,11/11/2023,1487412,24.79,NA,1,0,0,ANS,Anthropology,NA,,,
Garology (LONG CUTE ANCIENT PATIENT BOOPABLE NIGHTMARE FISH) Encore for GAR WEEK with Solomon David,11/8/2023,4515369,75.26,Garology,0,1,0,FNS,Biology,NA,,,
Neuroparasitology (NATURE ZOMBIES) with Matt Simon,11/1/2023,4929724,82.16,Neuroparasitology,0,0,0,FNS,Biology,Sociology,,,
Smologies #30: SPIDERWEBS with Randy Lewis,10/30/2023,1510739,25.18,NA,1,0,0,FNS,Biology,NA,,,
Teratology (MONSTERS) with W. Scott Poole,10/26/2023,5734948,95.58,Teratology,0,0,0,FSS,Psychology,NA,,,
Pomology (APPLES) with Susan K. Brown,10/18/2023,5461394,91.02,Pomology,0,0,0,FNS,Biology,Agricultural science,,,
Smologies #29: PUMPKINS with Anne Copeland,10/14/2023,1519568,25.33,NA,1,0,0,FNS,Agricultural science,Biology,,,
Witchology (WITCHES & WITCHCRAFT) Part 2 with Fio Gede Parma,10/11/2023,3966432,66.11,Witchology,0,0,1,FSS,Sociology,Anthropology,,,
Witchology (WITCHES & WITCHCRAFT) Part 1 with Fio Gede Parma,10/4/2023,3068029,51.13,Witchology,0,0,0,FSS,Sociology,Anthropology,,,
Smologies #28: AGING with Caleb Finch,9/30/2023,1184000,19.73,NA,1,0,0,FNS,Biology,NA,,,
Benthopelagic Nematology (DEEP SEA WORMS) with Holly Bik,9/27/2023,4528875,75.48,Nematology,0,0,0,FNS,Biology,NA,,,
Gustology (TASTE) with Gary Beauchamp,9/20/2023,4225071,70.42,Gustology,0,0,0,FNS,Biology,NA,,,
Cosmology (THE UNIVERSE) Part 2 Encore with Katie Mack,9/12/2023,2334902,38.92,Cosmology,0,1,1,FNS,Astronomy,Physics,,,
Smologies #27: MARS with Jennifer Buz,9/8/2023,1311764,21.86,NA,1,0,0,FNS,Astronomy,Earth science,,,
Cosmology (THE UNIVERSE) Part 1 Encore with Katie Mack,9/5/2023,5620845,93.68,Cosmology,0,1,0,FNS,Astronomy,Physics,,,
LIFE ADVICE Encore: For anyone who is tired & needs some hacks,8/29/2023,2851108,47.52,NA,0,1,0,NA,NA,NA,,,
Smologies #26: POOP with Rachel Santymire,8/25/2023,1334177,22.24,NA,1,0,0,ANS,Biology,Anthropology,,,
Etymology (WORD ORIGINS) Encore with Helen Zaltzman,8/22/2023,3969671,66.16,Etymology,0,1,0,FSS,Anthropology,NA,,,
Diabetology (BLOOD SUGAR) Part 2 Encore with Mike Natter,8/15/2023,4957074,82.62,Diabetology,0,1,1,ANS,Biology,Medicine,,,
Diabetology (BLOOD SUGAR) Part 1 Encore with Mike Natter,8/10/2023,3644891,60.75,Diabetology,0,1,0,ANS,Biology,Medicine,,,
Minisode: Dadward Takes a Break,8/10/2023,445596,7.43,NA,0,0,0,NA,NA,NA,,,
Neurotechnology (AI + BRAIN TECH) with Nita Farahany,8/2/2023,4754938,79.25,Neurotechnology,0,0,0,AFS,Computer science,Medicine,,,
Sciuridology (SQUIRRELS) with Karen Munroe,7/26/2023,5750439,95.84,Sciuridology,0,0,0,FNS,Biology,NA,,,
Molecular Neurobiology (BRAIN CHEMICALS) Encore with Crystal Dilworth,7/20/2023,5255915,87.60,Neurobiology,0,1,0,FNS,Biology,Chemistry,,,
Smologies #25: LIGHTNING with Chris Giesige,7/19/2023,1344365,22.41,NA,1,0,0,FNS,Earth science,Physics,,,
Curiology (EMOJI) Part 2 with Various Emoji Experts,7/12/2023,4307513,71.79,Curiology,0,0,1,FSS,Sociology,NA,,,
Curiology (EMOJI) Part 1 with Various Emoji Experts,7/6/2023,4697730,78.30,Curiology,0,0,0,FSS,Sociology,NA,,,
Field Trip: Birds of Prey and Raptor Facts,6/29/2023,5096280,84.94,NA,0,0,0,FNS,Biology,NA,,,
Smologies #24: SHIPWRECKS with Chanelle Zaphiropoulos,6/26/2023,1508022,25.13,NA,1,0,0,FSS,Anthropology,NA,,,
Native Melittology (INDIGENOUS BEES) with Krystle Hickman,6/22/2023,5271248,87.85,Melittology,0,0,0,FNS,Biology,NA,,,
Pectinidology (SCALLOPS) with Samantha Lynch,6/14/2023,5752372,95.87,Pectinidology,0,0,0,FNS,Biology,NA,,,
Smologies #23: MAMMALS with Danielle N. Lee,6/13/2023,1416751,23.61,NA,1,0,0,FNS,Biology,NA,,,
Fire Ecology (WILDFIRES & INDIGENOUS FIRE MANAGEMENT) Mega Encore with Gavin Jones & Amy Christianson,6/8/2023,8573283,142.89,Ecology,0,1,0,FSS,Anthropology,Agricultural science,,,
"Black American Magirology (FOOD, RACE & CULTURE) with Psyche Williams-Forson",5/31/2023,4377835,72.96,Magirology,0,0,0,FSS,Anthropology,Sociology,,,
Field Trip: A Hollywood Visit to the Writers Guild Strike Line,5/26/2023,4085263,68.09,NA,0,0,0,ASS,Jurisprudence,Sociology,,,
Acaropathology (TICKS & LYME DISEASE) Updated Mega Encore with Neeta Pardanani Connally & Andrea Swei,5/17/2023,9168274,152.80,Acaropathology,0,1,0,ANS,Biology,Medicine,,,
Invisible Photology (INVISIBILITY CLOAKS) with Greg Gbur,5/10/2023,4814080,80.23,Photology,0,0,0,ANS,Physics,NA,,,
Stem Cell Biology (CELLS MAKING CELLS) with “Science Sam” aka Samantha Yammine,5/3/2023,4775967,79.60,Biology,0,0,0,FNS,Biology,Medicine,,,
Smologies #22: REPTILES & AMPHIBIANS with David Steen,5/1/2023,1210226,20.17,NA,1,0,0,FNS,Biology,NA,,,
Delphinology Part 2 (DOLPHINS) with Justin Gregg,4/26/2023,3298063,54.97,Delphinology,0,0,1,FNS,Biology,NA,,,
Delphinology Part 1 (DOLPHINS) with Justin Gregg,4/19/2023,3816620,63.61,Delphinology,0,0,0,FNS,Biology,NA,,,
"Field Trip: My Butt, a Colonoscopy Ride Along & How-To",4/13/2023,2240522,37.34,NA,0,0,0,ANS,Medicine,NA,,,
Chickenology Part 2 (HENS & ROOSTERS) with Tove Danovich,4/5/2023,2739931,45.67,Chickenology,0,0,1,FNS,Biology,NA,,,
Chickenology Part 1 (HENS & ROOSTERS) with Tove Danovich,3/29/2023,4561789,76.03,Chickenology,0,0,0,FNS,Biology,NA,,,
Smologies #21: SLEEP with Chris Winter,3/28/2023,1726328,28.77,NA,1,0,0,ANS,Biology,Medicine,,,
"Domicology (ABANDONED BUILDINGS, RECYCLED HOUSES & GHOST TOWNS) with Rex LaMore",3/23/2023,5087738,84.80,Domicology,0,0,0,ASS,Anthropology,NA,,,
Chronobiology (CIRCADIAN RHYTHMS) Encore + 2023 Updates with Katherine Hatcher,3/14/2023,4633913,77.23,Chronobiology,0,1,0,FNS,Biology,Psychology,,,
Smologies #20: FISHES with Chris Thacker,3/14/2023,1345802,22.43,NA,1,0,0,FNS,Biology,NA,,,
Detroitology (DETROIT) with Aaron Foley,3/8/2023,3615111,60.25,Detroitology,0,0,0,ASS,Anthropology,Sociology,,,
Field Trip: An Airport Full of Neuroscientists,3/2/2023,3498866,58.31,NA,0,0,0,NA,NA,NA,,,
Environmental Toxicology (POISONS + TRAIN DERAILMENT)  with Kimberly K. Garrett,2/22/2023,4755121,79.25,Toxicology,0,0,0,FNS,Biology,Anthropology,,,
Melaninology (SKIN/HAIR PIGMENT) with Tina Lasisi,2/16/2023,5497312,91.62,Melaninology,0,0,0,FNS,Biology,NA,,,
Scotohylology (DARK MATTER) with Flip Tanedo,2/8/2023,4568111,76.14,Scotohylology,0,0,0,FNS,Physics,NA,,,
Laryngology Part 2 (VOICE BOXES) with Ronda Alexander,2/1/2023,3290618,54.84,Laryngology,0,0,1,FNS,Biology,Sociology,,,
Laryngology Part 1 (VOICE BOXES) Ronda Alexander,1/25/2023,3696848,61.61,Laryngology,0,0,0,FNS,Biology,Sociology,,,
Aperiology (MACRO PHOTOGRAPHY) Encore with Joseph Saunders,1/18/2023,5129717,85.50,Aperiology,0,1,0,ANS,Art,Biology,,,
Oneirology Part 2 (DREAMS) with G. William Domhoff,1/11/2023,5460819,91.01,Oneirology,0,0,1,FSS,Psychology,NA,,,
Oneirology Part 1 (DREAMS) with G. William Domhoff,1/4/2023,4480862,74.68,Oneirology,0,0,0,FSS,Psychology,NA,,,
"Bonus Episode: Secrets, Advice + Ask-Me-Anything",12/31/2022,3243598,54.06,NA,0,0,0,NA,NA,NA,,,
Smologies #19: EVOLUTION with John McCormack,12/29/2022,1345697,22.43,NA,1,0,0,FNS,Biology,NA,,,
P-22: The Life & Death of an L.A. Cougar with Miguel Ordeñana & Beth Pratt,12/23/2022,4967706,82.80,NA,0,0,0,FSS,Biology,Sociology,,,
Meteorology (WEATHER & CLIMATE) with Marshall Shepherd,12/14/2022,4336151,72.27,Meteorology,0,0,0,FNS,Earth science,NA,,,
Enigmatology (WORD PUZZLES) with David Kwong,12/6/2022,4244636,70.74,Enigmatology,0,0,0,FSS,Psychology,Art,,,
Special Ep: Mycology (MUSHROOMS) Tom Volk Memorial Encore,12/1/2022,4711056,78.52,Mycology,0,1,0,FNS,Biology,NA,,,
Indigenous Pedology (SOIL SCIENCE) with Lydia Jennings,11/23/2022,4385400,73.09,Pedology,0,0,0,FNS,Agricultural science,Anthropology,,,
Smologies #18: FEASTS with Katherine Spiers,11/22/2022,1353247,22.55,NA,1,0,0,FSS,Anthropology,Sociology,,,
Bryology (MOSS) Encore with Dr. Robin Wall Kimmerer,11/15/2022,4439016,73.98,Bryology,0,1,0,FNS,Biology,NA,,,
Discard Anthropology (GARBAGE) with Robin Nagle,11/9/2022,5363591,89.39,Anthropology,0,0,0,FSS,Anthropology,NA,,,
Smologies #17: FLAGS with E. Tory Laitila,11/8/2022,1366021,22.77,NA,1,0,0,FSS,Anthropology,Art,,,
Vampirology (VAMPIRES) Part 2 with Jeff Holdeman,10/31/2022,3642936,60.72,Vampirology,0,0,1,FSS,Psychology,Art,,,
Vampirology (VAMPIRES) Part 1 with Jeff Holdeman,10/26/2022,4126871,68.78,Vampirology,0,0,0,FSS,Psychology,Art,,,
Smologies #16: INSECTS with Lila Higgins,10/24/2022,1217671,20.29,NA,1,0,0,FNS,Biology,NA,,,
Metropolitan Tombology (PARIS CATACOMBS) with Erin-Marie Legacey,10/20/2022,4477511,74.63,Tombology,0,0,0,FSS,Anthropology,NA,,,
FIELD TRIP: I Go France and Learn Weird French Stuff,10/15/2022,1640071,27.33,NA,0,0,0,NA,NA,NA,,,
5th Anniversary Special! Xylology (LUMBER) with Jeff Perry,10/4/2022,4576608,76.28,Xylology,0,0,0,FNS,Agricultural science,Biology,,,
Geology (ROCKS) Part 2 with Schmitty Thompson,9/21/2022,2884391,48.07,Geology,0,0,1,FNS,Earth science,NA,,,
Smologies #15: FAMILY TREES with Stephen Hanks,9/21/2022,1145965,19.10,NA,1,0,0,ASS,Sociology,NA,,,
Geology (ROCKS) Part 1 with Schmitty Thompson,9/14/2022,3780120,63.00,Geology,0,0,0,FNS,Earth science,NA,,,
Oreamnology (MOUNTAIN GOATS ARE NOT GOATS) with Julie Cunningham,9/8/2022,3979680,66.33,Oreamnology,0,0,0,FNS,Biology,NA,,,
Diplopodology (MILLIPEDES & CENTIPEDES) with Dr. Derek Hennen,8/31/2022,4020191,67.00,Diplopodology,0,0,0,FNS,Biology,NA,,,
Critical Ecology (SOCIAL SYSTEMS + ENVIRONMENT) with Suzanne Pierre,8/23/2022,4525391,75.42,Ecology,0,0,0,FSS,Biology,Anthropology,,,
Thanatology — NEW Interview (GRIEF & MOURNING) with Cole Imperi + tips for Going Through It,8/16/2022,4148323,69.14,Thanatology,0,0,0,FSS,Psychology,Sociology,,,
Thanatology (DEATH & DYING) Updated Encore with Cole Imperi,8/10/2022,5402775,90.05,Thanatology,0,1,0,FNS,Psychology,Biology,,,
Cheloniology (SEA TURTLES) Encore with Camryn Allen,8/2/2022,5040023,84.00,Cheloniology,0,1,0,FNS,Biology,NA,,,
Testudinology (TORTOISES) Encore with Amanda Hipps,7/26/2022,4424254,73.74,Testudinology,0,1,0,FNS,Biology,NA,,,
Zymology (BEER) Encore with Quinton Sturgeon,7/21/2022,3301250,55.02,Zymology,0,1,0,ANS,Agricultural science,Chemistry,,,
Personality Psychology (PERSONALITIES) Encore with Simine Vazire,7/13/2022,4876826,81.28,Psychology,0,1,0,FSS,Psychology,NA,,,
Smologies #14: ALIENS with Kevin Peter Hand,7/13/2022,1332140,22.20,NA,1,0,0,FSS,Psychology,Sociology,,,
Lutrinology (OTTERS) with Chris J. Law,7/7/2022,3682440,61.37,Lutrinology,0,0,0,FNS,Biology,NA,,,
SUMMERSODE: Balmy Vibes & Seasonal Factoids with various Ologists,6/29/2022,6327040,105.45,NA,0,0,0,NA,NA,NA,,,
