"","title","release_date","duration_ms","duration_min","ology","smologies","encore","part_2","branch","primary","secondary"
"1","Theoretical & Creative Ecology (SCIENCE & ECOPOETRY) with Madhur Anand","2/7/2024",3423791,57.06,"Ecology",0,0,0,"FNS","Art","Biology"
"3","Evolutionary Anthropology (METABOLISM) with Herman Pontzer","1/31/2024",5058324,84.31,"Anthropology",0,0,0,"FSS","Anthropology","Biology"
"6","Carcinology (CRABS) Part 1 with Adam Wall","1/16/2024",4087431,68.12,"Carcinology",0,0,0,"FNS","Biology",NA
"7","Ethnoecology (ETHNOBOTANY/NATIVE PLANTS) with Leigh Joseph","1/9/2024",4767425,79.46,"Ethnoecology",0,0,0,"FSS","Anthropology","Biology"
"11","Lemurology (LEMURS) with Lydia Greene","12/20/2023",4563173,76.05,"Lemurology",0,0,0,"FNS","Biology",NA
"12","Quasithanatology (NEAR-DEATH EXPERIENCES) with Bruce Greyson","12/13/2023",5287340,88.12,"Quasithanatology",0,0,0,"FSS","Psychology","Biology"
"14","Syndesiology (CONNECTIONS) with James Burke","12/6/2023",3054236,50.9,"Syndesiology",0,0,0,"FSS","Sociology",NA
"17","Abstract Mathematology (UH, IS MATH REAL?) with Eugenia Cheng","11/22/2023",4637753,77.3,"Mathematology",0,0,0,"FFS","Pure mathematics",NA
"18","Road Ecology (ROAD KILL) with Ben Goldfarb","11/15/2023",5052760,84.21,"Ecology",0,0,0,"FSS","Anthropology","Biology"
"21","Neuroparasitology (NATURE ZOMBIES) with Matt Simon","11/1/2023",4929724,82.16,"Neuroparasitology",0,0,0,"FNS","Biology","Sociology"
"23","Teratology (MONSTERS) with W. Scott Poole","10/26/2023",5734948,95.58,"Teratology",0,0,0,"FSS","Psychology",NA
"24","Pomology (APPLES) with Susan K. Brown","10/18/2023",5461394,91.02,"Pomology",0,0,0,"FNS","Biology","Agricultural science"
"27","Witchology (WITCHES & WITCHCRAFT) Part 1 with Fio Gede Parma","10/4/2023",3068029,51.13,"Witchology",0,0,0,"FSS","Sociology","Anthropology"
"29","Benthopelagic Nematology (DEEP SEA WORMS) with Holly Bik","9/27/2023",4528875,75.48,"Nematology",0,0,0,"FNS","Biology",NA
"30","Gustology (TASTE) with Gary Beauchamp","9/20/2023",4225071,70.42,"Gustology",0,0,0,"FNS","Biology",NA
"40","Neurotechnology (AI + BRAIN TECH) with Nita Farahany","8/2/2023",4754938,79.25,"Neurotechnology",0,0,0,"AFS","Computer science","Medicine"
"41","Sciuridology (SQUIRRELS) with Karen Munroe","7/26/2023",5750439,95.84,"Sciuridology",0,0,0,"FNS","Biology",NA
"45","Curiology (EMOJI) Part 1 with Various Emoji Experts","7/6/2023",4697730,78.3,"Curiology",0,0,0,"FSS","Sociology",NA
"48","Native Melittology (INDIGENOUS BEES) with Krystle Hickman","6/22/2023",5271248,87.85,"Melittology",0,0,0,"FNS","Biology",NA
"49","Pectinidology (SCALLOPS) with Samantha Lynch","6/14/2023",5752372,95.87,"Pectinidology",0,0,0,"FNS","Biology",NA
"52","Black American Magirology (FOOD, RACE & CULTURE) with Psyche Williams-Forson","5/31/2023",4377835,72.96,"Magirology",0,0,0,"FSS","Anthropology","Sociology"
"55","Invisible Photology (INVISIBILITY CLOAKS) with Greg Gbur","5/10/2023",4814080,80.23,"Photology",0,0,0,"ANS","Physics",NA
"56","Stem Cell Biology (CELLS MAKING CELLS) with “Science Sam” aka Samantha Yammine","5/3/2023",4775967,79.6,"Biology",0,0,0,"FNS","Biology","Medicine"
"59","Delphinology Part 1 (DOLPHINS) with Justin Gregg","4/19/2023",3816620,63.61,"Delphinology",0,0,0,"FNS","Biology",NA
"62","Chickenology Part 1 (HENS & ROOSTERS) with Tove Danovich","3/29/2023",4561789,76.03,"Chickenology",0,0,0,"FNS","Biology",NA
"64","Domicology (ABANDONED BUILDINGS, RECYCLED HOUSES & GHOST TOWNS) with Rex LaMore","3/23/2023",5087738,84.8,"Domicology",0,0,0,"ASS","Anthropology",NA
"67","Detroitology (DETROIT) with Aaron Foley","3/8/2023",3615111,60.25,"Detroitology",0,0,0,"ASS","Anthropology","Sociology"
"69","Environmental Toxicology (POISONS + TRAIN DERAILMENT)  with Kimberly K. Garrett","2/22/2023",4755121,79.25,"Toxicology",0,0,0,"FNS","Biology","Anthropology"
"70","Melaninology (SKIN/HAIR PIGMENT) with Tina Lasisi","2/16/2023",5497312,91.62,"Melaninology",0,0,0,"FNS","Biology",NA
"71","Scotohylology (DARK MATTER) with Flip Tanedo","2/8/2023",4568111,76.14,"Scotohylology",0,0,0,"FNS","Physics",NA
"73","Laryngology Part 1 (VOICE BOXES) Ronda Alexander","1/25/2023",3696848,61.61,"Laryngology",0,0,0,"FNS","Biology","Sociology"
"76","Oneirology Part 1 (DREAMS) with G. William Domhoff","1/4/2023",4480862,74.68,"Oneirology",0,0,0,"FSS","Psychology",NA
"80","Meteorology (WEATHER & CLIMATE) with Marshall Shepherd","12/14/2022",4336151,72.27,"Meteorology",0,0,0,"FNS","Earth science",NA
"81","Enigmatology (WORD PUZZLES) with David Kwong","12/6/2022",4244636,70.74,"Enigmatology",0,0,0,"FSS","Psychology","Art"
"83","Indigenous Pedology (SOIL SCIENCE) with Lydia Jennings","11/23/2022",4385400,73.09,"Pedology",0,0,0,"FNS","Agricultural science","Anthropology"
"86","Discard Anthropology (GARBAGE) with Robin Nagle","11/9/2022",5363591,89.39,"Anthropology",0,0,0,"FSS","Anthropology",NA
"89","Vampirology (VAMPIRES) Part 1 with Jeff Holdeman","10/26/2022",4126871,68.78,"Vampirology",0,0,0,"FSS","Psychology","Art"
"91","Metropolitan Tombology (PARIS CATACOMBS) with Erin-Marie Legacey","10/20/2022",4477511,74.63,"Tombology",0,0,0,"FSS","Anthropology",NA
"93","5th Anniversary Special! Xylology (LUMBER) with Jeff Perry","10/4/2022",4576608,76.28,"Xylology",0,0,0,"FNS","Agricultural science","Biology"
"96","Geology (ROCKS) Part 1 with Schmitty Thompson","9/14/2022",3780120,63,"Geology",0,0,0,"FNS","Earth science",NA
